territory_id;R;G;B;territory_type;x;y
ter-000084;167;187;44;land;3722.06;625.11
ter-000085;182;11;238;land;4646.24;1570.44
ter-000086;245;157;47;land;1336.28;238.46
ter-000087;157;146;4;land;1285.1;91.69
ter-000088;128;52;240;land;1071.57;142.56
ter-000089;219;147;64;land;1274.48;881.12
ter-000090;167;95;24;land;3072.84;246.2
ter-000091;188;72;91;land;3604.26;234.56
ter-000092;114;153;245;land;3806.3;540.97
ter-000093;244;252;160;land;3173.13;284.38
ter-000094;11;61;249;land;4124.89;32.89
ter-000095;115;138;14;land;2149.31;221.29
ter-000096;211;186;208;land;950.11;215.16
ter-000097;35;172;24;land;2607.26;852.39
ter-000098;85;241;188;land;4708.03;274.59
ter-000099;245;129;193;land;2265.02;1290.72
ter-000100;196;213;31;land;2250.88;119.23
ter-000101;79;241;178;land;5178.92;1557.18
ter-000102;113;40;138;land;3382.07;868.53
ter-000103;141;80;19;land;3174.83;136.11
ter-000104;180;214;87;land;4587.21;1555.21
ter-000105;71;163;253;land;3961.28;178.18
ter-000106;140;251;110;land;4023.4;771.79
ter-000107;26;166;233;land;1999.38;102.62
ter-000108;1;219;244;land;3548.24;1042.1
ter-000109;142;139;84;land;4938.84;637.02
ter-000110;153;238;162;land;4331.66;288.88
ter-000111;121;39;185;land;4013.28;876.53
ter-000112;49;29;198;land;3184.0;70.0
ter-000113;73;18;194;land;2008.73;1284.84
ter-000114;41;186;228;land;3570.92;674.8
ter-000115;160;179;62;land;4.79;1848.66
ter-000116;60;44;128;land;1780.14;1848.45
ter-000117;33;224;69;land;3634.36;248.1
ter-000118;100;238;163;land;4025.73;1031.78
ter-000119;109;244;152;land;1504.99;539.54
ter-000120;83;218;63;land;5028.95;1254.5
ter-000121;69;162;97;land;1624.95;48.1
ter-000122;221;211;44;land;3792.05;235.21
ter-000123;3;174;151;land;1897.67;1178.42
ter-000124;225;201;212;land;4801.93;1458.08
ter-000125;115;218;26;land;3369.63;187.22
ter-000126;77;1;23;land;3328.57;1579.71
ter-000127;130;15;154;land;4761.61;1494.97
ter-000128;181;168;188;land;4075.21;803.5
ter-000129;142;98;47;land;3968.22;874.15
ter-000130;185;116;94;land;3642.31;657.29
ter-000131;119;165;78;land;2655.44;978.54
ter-000132;219;36;40;land;1142.63;469.34
ter-000133;133;249;10;land;2946.93;1079.87
ter-000134;200;247;104;land;1933.76;1609.94
ter-000135;122;140;225;land;5057.73;1559.69
ter-000136;252;32;158;land;1273.28;603.84
ter-000137;125;219;60;land;3958.21;286.23
ter-000138;164;146;184;land;3346.79;1391.74
ter-000139;113;106;195;land;4028.47;594.39
ter-000140;160;170;179;land;1006.38;275.86
ter-000141;100;188;193;land;3682.12;1498.38
ter-000142;4;5;135;land;219.01;144.74
ter-000143;236;105;172;land;789.0;1563.0
ter-000144;80;202;80;land;4619.26;693.23
ter-000145;134;153;15;land;1109.83;49.92
ter-000146;224;204;121;land;4966.29;1297.79
ter-000147;14;253;114;land;847.0;168.88
ter-000148;24;163;113;land;4256.93;458.47
ter-000149;79;20;210;land;1370.87;907.6
ter-000150;133;1;147;land;1084.58;396.63
ter-000151;186;125;249;land;4898.56;1189.71
ter-000152;175;55;92;land;4220.77;185.21
ter-000153;178;239;158;land;4325.25;613.04
ter-000154;77;149;145;land;4566.96;385.26
ter-000155;29;79;249;land;2724.31;715.79
ter-000156;249;35;16;land;4997.6;583.38
ter-000157;9;67;215;land;1014.86;119.01
ter-000158;107;248;15;land;5154.0;1032.0
ter-000159;224;207;111;land;954.0;163.96
ter-000160;15;141;101;land;1098.9;796.06
ter-000161;253;119;154;land;1858.82;1365.87
ter-000162;136;18;228;land;3369.85;173.31
ter-000163;114;206;11;land;804.52;163.68
ter-000164;143;18;30;land;4512.75;531.11
ter-000165;149;118;226;land;4486.0;1170.0
ter-000166;237;183;13;land;3911.96;103.55
ter-000167;196;29;254;land;4119.72;494.31
ter-000168;99;69;28;land;2003.72;1168.45
ter-000169;231;121;141;land;5260.45;101.48
ter-000170;203;201;159;land;3202.42;82.88
ter-000171;204;26;182;land;4998.42;1636.66
ter-000172;85;43;191;land;3307.39;683.35
ter-000173;213;17;190;land;3430.27;676.07
ter-000174;90;235;11;land;4275.33;940.33
ter-000175;191;144;10;land;2389.0;2099.0
ter-000176;56;232;158;land;2665.39;334.42
ter-000177;176;124;94;land;2008.04;1156.69
ter-000178;143;194;32;land;2986.87;889.47
ter-000179;251;235;35;land;3946.66;628.36
ter-000180;61;147;146;land;901.3;491.58
ter-000181;178;201;231;land;4799.96;556.5
ter-000182;201;42;11;land;2896.0;1087.0
ter-000183;248;243;230;land;2086.41;140.49
ter-000184;92;4;83;land;6.06;1161.29
ter-000185;72;56;230;land;1649.95;1204.5
ter-000186;2;140;12;land;3697.23;646.19
ter-000187;146;65;150;land;2130.27;1223.63
ter-000188;109;24;232;land;3174.63;1677.87
ter-000189;102;124;225;land;4890.36;1404.42
ter-000190;77;136;10;land;1731.54;91.8
ter-000191;27;248;38;land;2769.03;304.93
ter-000192;211;168;11;land;1730.0;1203.93
ter-000193;161;129;213;land;3414.91;1272.44
ter-000194;240;221;59;land;2008.77;1634.89
ter-000195;67;8;42;land;3402.72;131.1
ter-000196;65;225;91;land;3445.67;1178.34
ter-000197;239;239;214;land;3866.52;61.33
ter-000198;102;204;232;land;3524.82;109.1
ter-000199;108;172;233;land;3398.9;1203.15
ter-000200;9;165;60;land;3164.16;1132.64
ter-000201;76;253;34;land;1019.27;433.1
ter-000202;47;88;109;land;4870.29;336.71
ter-000203;81;199;241;land;3376.23;215.34
ter-000204;189;137;229;land;1754.96;1594.02
ter-000205;138;232;135;land;3091.08;321.59
ter-000206;137;220;178;land;1586.96;565.88
ter-000207;27;70;65;land;5214.0;794.0
ter-000208;228;244;216;land;5423.09;103.45
ter-000209;179;72;154;land;3835.14;577.83
ter-000210;68;184;162;land;1025.43;693.62
ter-000211;40;114;18;land;4954.3;67.42
ter-000212;1;146;203;land;4742.22;1330.76
ter-000213;44;166;109;land;4515.97;1157.57
ter-000214;0;24;95;land;994.41;122.25
ter-000215;221;233;52;land;2967.67;290.64
ter-000216;250;235;57;land;3694.8;849.67
ter-000217;189;219;253;land;1224.0;262.85
ter-000218;149;251;230;land;681.0;1457.5
ter-000219;38;176;173;land;558.94;128.35
ter-000220;202;228;144;land;4756.54;404.93
ter-000221;91;116;124;land;5477.0;1012.0
ter-000222;104;96;88;land;4787.2;363.39
ter-000223;87;227;133;land;4332.81;542.66
ter-000224;211;138;130;land;1566.04;1182.11
ter-000225;220;154;143;land;3530.44;271.48
ter-000226;228;172;214;land;4471.25;717.93
ter-000227;104;127;65;land;3496.36;895.97
ter-000228;168;169;147;land;3476.66;359.28
ter-000229;137;225;88;land;1476.26;641.77
ter-000230;152;2;225;land;4528.81;259.49
ter-000231;52;140;29;land;1518.21;194.61
ter-000232;166;148;219;land;2246.75;75.94
ter-000233;25;24;19;land;1832.42;1426.98
ter-000234;116;204;78;land;2854.64;914.77
ter-000235;172;127;254;land;4308.08;516.54
ter-000236;137;211;243;land;5340.67;317.33
ter-000237;200;122;52;land;4545.23;368.37
ter-000238;166;105;72;land;5007.57;224.84
ter-000239;212;3;63;land;4426.83;968.01
ter-000240;227;168;99;land;4192.98;354.27
ter-000241;114;56;34;land;1916.21;347.36
ter-000242;189;22;112;land;3969.35;54.59
ter-000243;230;120;166;land;4765.57;1070.62
ter-000244;251;23;144;land;1481.31;993.34
ter-000245;252;104;108;land;3069.4;1520.72
ter-000246;182;64;138;land;1751.81;465.61
ter-000247;79;194;64;land;1375.19;601.83
ter-000248;134;167;233;land;3342.95;845.01
ter-000249;181;242;254;land;892.5;517.93
ter-000250;101;52;184;land;4726.6;125.84
ter-000251;24;141;250;land;926.38;607.52
ter-000252;216;144;234;land;4.26;982.49
ter-000253;149;65;108;land;1095.14;174.91
ter-000254;74;113;231;land;3309.11;880.78
ter-000255;45;206;236;land;4061.25;1041.8
ter-000256;113;183;172;land;3159.44;992.06
ter-000257;193;191;111;land;1541.45;740.59
ter-000258;128;89;245;land;5628.5;2086.65
ter-000259;51;153;44;land;1942.65;1241.65
ter-000260;242;238;22;land;2938.49;1019.38
ter-000261;122;87;144;land;3601.53;862.58
ter-000262;191;215;158;land;3887.68;321.4
ter-000263;215;86;33;land;5.78;1945.85
ter-000264;29;97;138;land;4082.97;110.03
ter-000265;191;80;174;land;1766.2;1899.36
ter-000266;102;52;16;land;971.83;380.48
ter-000267;146;148;237;land;5624.64;1004.36
ter-000268;172;246;14;land;3734.82;300.78
ter-000269;237;79;141;land;1384.33;150.18
ter-000270;147;99;196;land;4981.67;1541.81
ter-000271;252;200;172;land;4940.74;245.57
ter-000272;26;111;35;land;3481.5;1438.0
ter-000273;35;49;100;land;2818.64;983.22
ter-000274;134;249;32;land;3275.51;1546.29
ter-000275;56;236;235;land;2716.0;566.26
ter-000276;164;210;103;land;4836.77;312.31
ter-000277;28;131;197;land;6.25;1992.52
ter-000278;134;178;111;land;5.02;1275.48
ter-000279;147;12;129;land;4598.15;642.66
ter-000280;99;255;122;land;479.43;92.33
ter-000281;129;113;211;land;3015.78;976.56
ter-000282;197;159;125;land;4436.36;556.73
ter-000283;34;190;195;land;3707.67;350.59
ter-000284;62;161;108;land;1817.38;1288.39
ter-000285;189;10;115;land;4617.94;197.71
ter-000286;77;109;60;land;4936.47;327.42
ter-000287;237;217;161;land;1217.24;601.2
ter-000288;57;187;101;land;1973.1;441.1
ter-000289;170;215;87;land;3417.16;659.29
ter-000290;68;100;118;land;1588.73;28.01
ter-000291;13;49;33;land;4384.94;214.54
ter-000292;254;187;13;land;1900.02;1458.41
ter-000293;25;177;134;land;980.5;480.09
ter-000294;29;165;17;land;3368.87;1222.04
ter-000295;45;36;109;land;303.4;93.85
ter-000296;22;170;57;land;5586.39;140.14
ter-000297;49;19;178;land;1507.01;176.94
ter-000298;123;132;141;land;4877.13;92.39
ter-000299;207;182;39;land;1392.0;828.0
ter-000300;12;171;192;land;4388.91;70.74
ter-000301;60;102;38;land;5198.65;131.03
ter-000302;205;194;221;land;3544.16;737.41
ter-000303;105;54;223;land;4583.89;775.7
ter-000304;196;143;216;land;874.74;260.64
ter-000305;81;183;190;land;3042.63;133.17
ter-000306;208;14;22;land;3010.34;1022.48
ter-000307;248;162;114;land;3745.48;554.61
ter-000308;160;175;171;land;4084.7;664.8
ter-000309;151;59;8;land;2961.12;1189.28
ter-000310;34;132;8;land;5624.34;1915.28
ter-000311;89;38;59;land;2240.05;1275.64
ter-000312;3;140;217;land;2213.55;50.37
ter-000313;80;161;55;land;3398.37;381.46
ter-000314;118;236;173;land;4009.61;866.05
ter-000315;163;201;27;land;1568.33;865.33
ter-000316;2;255;118;land;1618.51;1154.16
ter-000317;51;239;229;land;1676.95;1957.4
ter-000318;30;245;213;land;4026.66;306.44
ter-000319;231;54;201;land;2985.73;906.78
ter-000320;76;208;68;land;4789.73;261.91
ter-000321;97;168;32;land;4783.92;1223.84
ter-000322;25;79;75;land;1427.88;896.55
ter-000323;210;71;176;land;1115.49;241.0
ter-000324;122;62;74;land;3114.86;1594.14
ter-000325;3;119;152;land;1352.39;264.32
ter-000326;56;12;252;land;1339.12;385.61
ter-000327;99;163;136;land;5513.29;91.56
ter-000328;70;237;125;land;1495.37;1010.83
ter-000329;173;60;208;land;3493.32;1045.04
ter-000330;130;251;35;land;3554.76;175.14
ter-000331;26;87;195;land;4185.81;371.32
ter-000332;108;33;116;land;5286.1;1291.76
ter-000333;76;235;106;land;1094.4;287.95
ter-000334;160;113;9;land;4092.02;800.09
ter-000335;32;83;27;land;1120.51;152.34
ter-000336;97;241;233;land;5625.13;271.42
ter-000337;83;7;63;land;2617.22;987.92
ter-000338;137;192;147;land;3340.55;324.6
ter-000339;5;74;160;land;4294.15;305.21
ter-000340;13;212;37;land;3345.02;1339.12
ter-000341;241;156;35;land;3849.67;459.17
ter-000342;200;153;190;land;3867.49;79.62
ter-000343;4;201;147;land;4956.89;618.7
ter-000344;45;178;47;land;3929.91;398.57
ter-000345;75;166;23;land;4774.68;297.51
ter-000346;140;60;174;land;2660.3;847.21
ter-000347;175;71;91;land;3693.93;790.44
ter-000348;63;54;135;land;4670.97;1625.94
ter-000349;198;91;59;land;3159.95;1229.09
ter-000350;86;229;236;land;1766.09;1049.28
ter-000351;152;165;51;land;3348.04;180.62
ter-000352;68;71;6;land;4021.68;919.19
ter-000353;39;201;107;land;5624.34;387.17
ter-000354;182;158;13;land;1403.67;886.43
ter-000355;124;53;35;land;1977.79;1277.16
ter-000356;5;71;2;land;5292.77;99.22
ter-000357;160;71;50;land;2853.33;485.64
ter-000358;190;155;177;land;4529.58;345.49
ter-000359;127;113;29;land;4708.81;91.57
ter-000360;227;237;213;land;3045.64;107.48
ter-000361;184;97;223;land;821.9;287.35
ter-000362;191;36;43;land;5401.83;1338.92
ter-000363;22;243;50;land;4812.94;756.17
ter-000364;142;13;28;land;2010.89;1595.25
ter-000365;24;194;155;land;4645.01;373.31
ter-000366;7;36;54;land;4038.39;950.88
ter-000367;189;95;66;land;3695.29;112.81
ter-000368;254;83;146;land;4930.22;1233.82
ter-000369;196;204;254;land;4788.0;1086.0
ter-000370;88;212;165;land;2913.44;1054.93
ter-000371;241;83;105;land;3955.89;511.12
ter-000372;153;179;157;land;3741.51;126.79
ter-000373;148;240;197;land;1239.27;84.82
ter-000374;193;30;70;land;3363.88;1423.72
ter-000375;72;238;190;land;4130.02;765.86
ter-000376;93;121;222;land;1300.44;49.12
ter-000377;205;80;10;land;4059.29;80.83
ter-000378;167;144;203;land;4844.1;118.79
ter-000379;176;158;132;land;8.63;1477.87
ter-000380;142;55;188;land;3105.57;1301.36
ter-000381;200;206;164;land;3470.41;1122.8
ter-000382;5;68;246;land;2191.21;1392.74
ter-000383;69;9;217;land;764.37;262.5
ter-000384;42;115;64;land;4068.16;889.19
ter-000385;238;82;206;land;3294.25;1054.95
ter-000386;86;59;242;land;3970.69;778.67
ter-000387;92;90;111;land;3017.97;1054.4
ter-000388;127;49;52;land;3887.64;650.48
ter-000389;44;2;163;land;2956.0;440.37
ter-000390;164;162;20;land;4776.34;264.22
ter-000391;44;1;25;land;4825.81;617.77
ter-000392;235;64;114;land;2825.25;350.77
ter-000393;175;97;82;land;1858.66;1585.5
ter-000394;69;203;166;land;3689.81;369.74
ter-000395;116;18;193;land;4076.64;1074.53
ter-000396;162;97;113;land;3120.4;995.42
ter-000397;234;109;237;land;1448.4;491.47
ter-000398;233;206;144;land;4913.36;491.62
ter-000399;246;174;12;land;3253.22;1014.6
ter-000400;202;50;81;land;5625.0;982.8
ter-000401;110;177;53;land;4564.02;1127.1
ter-000402;185;67;37;land;1998.62;1254.03
ter-000403;169;45;18;land;2436.0;50.22
ter-000404;236;77;149;land;1819.69;1696.1
ter-000405;89;227;49;land;2717.71;701.5
ter-000406;209;18;201;land;4391.1;918.89
ter-000407;46;40;176;land;1810.39;387.82
ter-000408;90;153;0;land;4959.3;1431.54
ter-000409;33;79;147;land;2745.61;736.08
ter-000410;92;116;239;land;5148.5;1673.5
ter-000411;54;29;44;land;1679.58;295.21
ter-000412;220;179;133;land;1205.5;346.4
ter-000413;71;11;134;land;2087.59;1185.0
ter-000414;252;113;102;land;1986.42;1542.84
ter-000415;91;196;155;land;4699.86;1155.54
ter-000416;162;0;185;land;3146.91;1652.33
ter-000417;43;243;41;land;4369.27;247.85
ter-000418;135;81;86;land;917.22;200.07
ter-000419;198;249;209;land;4.85;607.59
ter-000420;158;199;31;land;5190.0;1512.0
ter-000421;36;46;70;land;5060.97;77.99
ter-000422;65;158;37;land;1733.63;1894.15
ter-000423;131;153;134;land;5203.56;1608.51
ter-000424;81;190;0;land;1883.93;1708.2
ter-000425;56;22;3;land;5627.56;1957.52
ter-000426;19;138;231;land;2162.94;38.25
ter-000427;254;139;100;land;5499.16;1844.14
ter-000428;71;163;66;land;1732.49;267.57
ter-000429;23;141;219;land;4272.59;691.97
ter-000430;30;191;51;land;5181.67;1570.32
ter-000431;198;14;178;land;5042.26;233.69
ter-000432;193;168;4;land;4080.16;482.64
ter-000433;69;94;55;land;3635.46;289.05
ter-000434;226;59;145;land;1689.96;1727.13
ter-000435;170;195;193;land;4595.75;168.12
ter-000436;207;65;137;land;3612.96;408.6
ter-000437;147;63;39;land;2900.51;744.78
ter-000438;236;219;152;land;5124.81;246.79
ter-000439;116;248;181;land;4352.23;537.06
ter-000440;33;249;237;land;3243.75;577.53
ter-000441;151;52;25;land;4519.68;577.64
ter-000442;139;109;154;land;1535.64;193.08
ter-000443;44;16;243;land;1679.5;823.83
ter-000444;176;211;145;land;5624.67;1229.63
ter-000445;50;134;145;land;1710.73;1871.65
ter-000446;17;186;0;land;3915.83;610.76
ter-000447;123;163;55;land;4593.27;1161.69
ter-000448;192;8;11;land;4416.71;596.42
ter-000449;218;227;67;land;5545.3;1776.18
ter-000450;5;126;252;land;1726.99;378.29
ter-000451;191;102;76;land;5340.43;1338.54
ter-000452;157;245;71;land;3569.86;366.59
ter-000453;186;47;140;land;3783.59;263.34
ter-000454;101;28;244;land;5122.22;48.33
ter-000455;186;104;111;land;3337.19;1155.96
ter-000456;90;120;119;land;4614.67;583.98
ter-000457;71;97;75;land;4582.17;34.78
ter-000458;72;157;179;land;4684.94;1327.33
ter-000459;96;222;43;land;3418.9;1204.01
ter-000460;53;4;191;land;1880.29;318.71
ter-000461;253;216;182;land;2762.14;263.73
ter-000462;168;224;9;land;4067.33;250.9
ter-000463;181;233;90;land;2564.26;846.74
ter-000464;37;141;79;land;702.88;185.26
ter-000465;64;228;47;land;3332.52;369.91
ter-000466;128;46;139;land;4465.79;495.27
ter-000467;49;135;213;land;2613.03;779.21
ter-000468;18;203;112;land;4334.39;893.41
ter-000469;0;129;71;land;1024.64;467.41
ter-000470;222;118;123;land;4769.6;1099.2
ter-000471;72;101;243;land;1454.51;629.01
ter-000472;71;138;85;land;2743.76;593.56
ter-000473;83;197;95;land;4127.38;305.42
ter-000474;67;204;87;land;1542.6;977.2
ter-000475;108;14;75;land;3362.98;1519.21
ter-000476;198;9;95;land;4585.67;261.04
ter-000477;159;214;32;land;4663.66;332.88
ter-000478;54;113;160;land;4125.13;106.88
ter-000479;180;66;225;land;3365.56;273.43
ter-000480;199;189;5;land;3980.9;900.37
ter-000481;142;221;108;land;3189.72;930.62
ter-000482;6;185;3;land;3440.07;364.76
ter-000483;49;28;54;land;3211.87;1394.64
ter-000484;246;14;198;land;3167.41;1297.4
ter-000485;238;138;38;land;1095.92;78.8
ter-000486;92;204;92;land;1018.39;442.37
ter-000487;148;133;79;land;3703.58;826.93
ter-000488;240;3;138;land;66.5;1169.0
ter-000489;247;161;150;land;3456.42;379.86
ter-000490;129;75;111;land;427.07;71.81
ter-000491;90;195;117;land;4636.65;362.38
ter-000492;250;150;212;land;1773.13;442.72
ter-000493;246;221;192;land;1916.31;1514.33
ter-000494;147;229;144;land;991.07;46.48
ter-000495;4;157;191;land;1736.69;1595.55
ter-000496;42;237;177;land;3959.17;1081.0
ter-000497;47;118;40;land;4990.97;197.51
ter-000498;120;199;126;land;4376.93;747.37
ter-000499;201;241;68;land;4423.44;749.99
ter-000500;168;145;105;land;839.65;215.97
ter-000501;230;255;110;land;2986.01;925.85
ter-000502;53;35;87;land;4138.52;645.46
ter-000503;66;105;183;land;4345.72;751.06
ter-000504;225;3;12;land;1748.39;1908.41
ter-000505;207;217;78;land;3063.93;1454.44
ter-000506;151;77;120;land;2310.0;1232.0
ter-000507;182;68;9;land;396.49;82.82
ter-000508;130;216;62;land;3298.13;1266.14
ter-000509;250;96;131;land;4085.59;841.75
ter-000510;66;146;106;land;2566.0;704.5
ter-000511;193;242;204;land;1491.08;88.19
ter-000512;87;45;181;land;4408.26;210.83
ter-000513;248;97;94;land;3141.34;1556.44
ter-000514;229;173;89;land;3407.58;1393.94
ter-000515;35;168;249;land;403.42;155.4
ter-000516;54;20;183;land;3510.24;1503.12
ter-000517;150;200;178;land;1090.76;251.45
ter-000518;68;55;165;land;3578.67;546.42
ter-000519;174;41;78;land;1226.39;577.22
ter-000520;73;70;176;land;4411.17;160.13
ter-000521;39;202;206;land;883.65;126.39
ter-000522;108;3;95;land;4322.67;1101.46
ter-000523;71;2;178;land;2683.19;66.28
ter-000524;22;25;46;land;4063.41;595.14
ter-000525;180;190;186;land;2834.65;375.08
ter-000526;139;86;64;land;3434.53;1210.02
ter-000527;232;131;101;land;4370.5;1140.84
ter-000528;3;225;87;land;5409.85;198.71
ter-000529;48;31;128;land;2095.91;1532.56
ter-000530;75;160;186;land;4495.06;518.67
ter-000531;135;213;61;land;4696.08;723.87
ter-000532;204;42;183;land;3659.07;150.32
ter-000533;154;144;209;land;900.69;534.47
ter-000534;182;124;7;land;1762.03;2026.98
ter-000535;68;251;40;land;4187.34;560.24
ter-000536;221;52;124;land;3541.89;694.49
ter-000537;68;91;216;land;3010.18;373.41
ter-000538;34;134;44;land;4906.47;68.03
ter-000539;65;4;176;land;1700.64;1194.92
ter-000540;84;66;55;land;3436.1;537.76
ter-000541;86;187;17;land;3573.06;280.92
ter-000542;245;250;193;land;1832.91;1191.32
ter-000543;203;118;46;land;1585.66;326.87
ter-000544;52;84;179;land;4876.81;1216.68
ter-000545;90;51;195;land;5625.07;655.2
ter-000546;76;195;231;land;4018.54;909.15
ter-000547;77;8;214;land;4341.67;1022.33
ter-000548;85;51;3;land;3338.22;1493.14
ter-000549;99;18;89;land;3294.58;790.39
ter-000550;250;82;202;land;3350.35;1318.25
ter-000551;46;246;54;land;3067.67;1361.34
ter-000552;13;31;254;land;1428.51;33.24
ter-000553;163;181;137;land;5054.89;399.8
ter-000554;167;253;244;land;1676.81;1772.8
ter-000555;103;55;241;land;2655.17;1055.02
ter-000556;123;187;61;land;1420.35;504.44
ter-000557;144;209;248;land;3534.8;333.47
ter-000558;115;167;142;land;4815.09;71.73
ter-000559;33;211;112;land;1406.54;630.63
ter-000560;208;121;148;land;4347.48;360.44
ter-000561;54;179;35;land;5625.57;479.98
ter-000562;73;165;11;land;3842.98;653.06
ter-000563;59;46;7;land;1699.41;494.21
ter-000564;10;169;238;land;4566.32;1184.89
ter-000565;171;121;105;land;3202.83;582.67
ter-000566;157;248;181;land;1591.9;850.4
ter-000567;81;167;247;land;1180.93;510.83
ter-000568;190;192;57;land;1740.71;1412.96
ter-000569;83;205;250;land;2084.17;1280.67
ter-000570;52;184;40;land;4349.47;444.84
ter-000571;247;178;124;land;4720.5;977.0
ter-000572;152;154;237;land;4029.65;142.28
ter-000573;190;41;192;land;3387.05;834.86
ter-000574;52;130;212;land;5186.86;234.43
ter-000575;243;22;199;land;3161.62;203.98
ter-000576;12;207;239;land;5624.31;1066.67
ter-000577;109;167;200;land;1743.16;1819.89
ter-000578;211;93;222;land;2477.67;59.83
ter-000579;244;64;31;land;3199.36;948.33
ter-000580;54;11;139;land;1864.7;1027.98
ter-000581;19;144;40;land;5398.82;1339.91
ter-000582;180;59;214;land;4511.03;732.38
ter-000583;64;18;214;land;1557.64;7.65
ter-000584;82;241;184;land;1446.32;337.15
ter-000585;30;72;59;land;2755.67;417.42
ter-000586;212;63;232;land;3026.72;332.61
ter-000587;240;77;2;land;4402.09;811.81
ter-000588;30;255;252;land;1734.73;1226.97
ter-000589;124;166;171;land;5148.2;165.67
ter-000590;139;179;7;land;5388.45;125.48
ter-000591;2;76;185;land;4950.17;340.63
ter-000592;91;19;134;land;2004.17;1665.25
ter-000593;255;172;64;land;3199.29;538.82
ter-000594;144;68;126;land;1271.1;30.35
ter-000595;216;151;159;land;1956.75;406.53
ter-000596;191;163;164;land;5623.02;1714.5
ter-000597;176;193;204;land;3240.82;1075.2
ter-000598;20;251;83;land;4040.79;991.01
ter-000599;230;180;253;land;2183.6;1224.14
ter-000600;74;54;139;land;5374.49;1489.09
