province_id;R;G;B;province_type;x;y
prv-000277;28;131;197;land;4109.62;37.16
prv-000278;134;178;111;land;4146.76;44.99
prv-000279;147;12;129;land;4172.51;40.67
prv-000280;99;255;122;land;4214.19;38.18
prv-000281;129;113;211;land;4262.94;43.3
prv-000282;197;159;125;land;4291.61;37.18
prv-000283;34;190;195;land;4317.79;44.74
prv-000284;62;161;108;land;4353.67;42.12
prv-000285;189;10;115;land;4376.66;39.21
prv-000286;77;109;60;land;4402.14;37.62
prv-000287;237;217;161;land;4432.57;42.4
prv-000288;57;187;101;land;4457.76;50.97
prv-000289;170;215;87;land;4497.13;42.65
prv-000290;68;100;118;land;4530.31;40.96
prv-000291;13;49;33;land;4568.2;39.76
prv-000292;254;187;13;land;4590.73;47.04
prv-000293;25;177;134;land;4649.97;46.75
prv-000294;29;165;17;land;4678.34;42.73
prv-000295;45;36;109;land;4705.84;40.24
prv-000296;22;170;57;land;4724.13;39.58
prv-000297;49;19;178;land;4762.4;47.52
prv-000298;123;132;141;land;4796.3;43.77
prv-000299;207;182;39;land;4820.66;46.99
prv-000300;12;171;192;land;4993.93;47.66
prv-000301;60;102;38;land;5027.7;42.46
prv-000302;205;194;221;land;5052.38;47.01
prv-000303;105;54;223;land;5090.35;44.49
prv-000304;196;143;216;land;5122.22;48.33
prv-000305;81;183;190;land;5628.08;45.38
prv-000306;208;14;22;land;12.36;57.65
prv-000307;248;162;114;land;35.75;62.51
prv-000308;160;175;171;land;78.5;60.0
prv-000309;151;59;8;land;380.0;60.0
prv-000310;34;132;8;land;886.01;51.59
prv-000311;89;38;59;land;907.05;59.12
prv-000312;3;140;217;land;911.06;47.6
prv-000313;80;161;55;land;965.21;55.56
prv-000314;118;236;173;land;984.27;55.6
prv-000315;163;201;27;land;1033.84;50.2
prv-000316;2;255;118;land;1056.76;53.14
prv-000317;51;239;229;land;1095.24;60.19
prv-000318;30;245;213;land;1125.43;57.79
prv-000319;231;54;201;land;1155.18;53.34
prv-000320;76;208;68;land;1172.92;54.62
prv-000321;97;168;32;land;1265.71;48.06
prv-000322;25;79;75;land;1300.44;49.12
prv-000323;210;71;176;land;1319.4;61.69
prv-000324;122;62;74;land;1340.44;56.63
prv-000325;3;119;152;land;1425.78;51.55
prv-000326;56;12;252;land;1455.69;51.72
prv-000327;99;163;136;land;1476.57;50.71
prv-000328;70;237;125;land;1505.33;49.07
prv-000329;173;60;208;land;1547.05;51.41
prv-000330;130;251;35;land;1581.1;52.72
prv-000331;26;87;195;land;1604.2;52.91
prv-000332;108;33;116;land;1647.72;57.12
prv-000333;76;235;106;land;1667.3;63.79
prv-000334;160;113;9;land;1684.62;58.28
prv-000335;32;83;27;land;1950.1;57.19
prv-000336;97;241;233;land;1968.2;56.55
prv-000337;83;7;63;land;2013.82;47.3
prv-000338;137;192;147;land;2030.01;57.48
prv-000339;5;74;160;land;2072.97;51.88
prv-000340;13;212;37;land;2104.42;53.98
prv-000341;241;156;35;land;2120.77;58.33
prv-000342;200;153;190;land;2159.91;51.56
prv-000343;4;201;147;land;2185.07;51.24
prv-000344;45;178;47;land;2213.55;50.37
prv-000345;75;166;23;land;2271.35;49.54
prv-000346;140;60;174;land;2291.12;49.06
prv-000347;175;71;91;land;2317.76;58.11
prv-000348;63;54;135;land;2372.9;58.23
prv-000349;198;91;59;land;2394.39;47.07
prv-000350;86;229;236;land;2436.0;50.22
prv-000351;152;165;51;land;2452.51;42.65
prv-000352;68;71;6;land;2477.67;59.83
prv-000353;39;201;107;land;3643.61;47.51
prv-000354;182;158;13;land;3666.74;52.71
prv-000355;124;53;35;land;3678.86;56.14
prv-000356;5;71;2;land;3866.52;61.33
prv-000357;160;71;50;land;3885.67;56.44
prv-000358;190;155;177;land;3918.77;58.27
prv-000359;127;113;29;land;3969.35;54.59
prv-000360;227;237;213;land;3982.63;62.37
prv-000361;184;97;223;land;4011.44;54.72
prv-000362;191;36;43;land;4060.31;52.76
prv-000363;22;243;50;land;4073.3;55.47
prv-000364;142;13;28;land;4117.25;48.62
prv-000365;24;194;155;land;4137.34;55.53
prv-000366;7;36;54;land;4189.1;56.81
prv-000367;189;95;66;land;4213.52;52.67
prv-000368;254;83;146;land;4242.02;53.58
prv-000369;196;204;254;land;4281.61;56.04
prv-000370;88;212;165;land;4305.62;61.07
prv-000371;241;83;105;land;4350.37;59.37
prv-000372;153;179;157;land;4384.2;51.61
prv-000373;148;240;197;land;4407.93;54.19
prv-000374;193;30;70;land;4446.19;50.29
prv-000375;72;238;190;land;4469.94;48.96
prv-000376;93;121;222;land;4515.97;59.13
prv-000377;205;80;10;land;4547.21;51.03
prv-000378;167;144;203;land;4567.9;53.39
prv-000379;176;158;132;land;4607.07;49.7
prv-000380;142;55;188;land;4635.26;46.99
prv-000381;200;206;164;land;4666.56;55.71
prv-000382;5;68;246;land;4697.44;49.78
prv-000383;69;9;217;land;4724.08;50.55
prv-000384;42;115;64;land;4777.38;53.37
prv-000385;238;82;206;land;4792.36;57.11
prv-000386;86;59;242;land;4816.67;57.35
prv-000387;92;90;111;land;4878.23;55.96
prv-000388;127;49;52;land;4888.73;62.48
prv-000389;44;2;163;land;4918.86;63.62
prv-000390;164;162;20;land;4958.8;59.16
prv-000391;44;1;25;land;4988.0;52.0
prv-000392;235;64;114;land;5020.0;53.16
prv-000393;175;97;82;land;5066.63;54.15
prv-000394;69;203;166;land;5078.91;53.98
prv-000395;116;18;193;land;5111.03;54.04
prv-000396;162;97;113;land;5146.16;63.25
prv-000397;234;109;237;land;5622.46;48.35
prv-000398;233;206;144;land;20.08;64.71
prv-000399;246;174;12;land;45.02;63.45
prv-000400;202;50;81;land;79.5;61.0
prv-000401;110;177;53;land;323.98;77.65
prv-000402;185;67;37;land;332.61;73.23
prv-000403;169;45;18;land;365.08;72.08
prv-000404;236;77;149;land;402.56;70.84
prv-000405;89;227;49;land;427.07;71.81
prv-000406;209;18;201;land;819.59;74.12
prv-000407;46;40;176;land;898.57;62.09
prv-000408;90;153;0;land;925.96;56.57
prv-000409;33;79;147;land;976.95;68.95
prv-000410;92;116;239;land;997.18;70.94
prv-000411;54;29;44;land;1014.77;63.13
prv-000412;220;179;133;land;1052.44;62.98
prv-000413;71;11;134;land;1077.57;64.24
prv-000414;252;113;102;land;1139.72;69.37
prv-000415;91;196;155;land;1161.51;66.62
prv-000416;162;0;185;land;1178.03;68.71
prv-000417;43;243;41;land;1209.72;76.39
prv-000418;135;81;86;land;1253.5;73.3
prv-000419;198;249;209;land;1275.38;59.06
prv-000420;158;199;31;land;1321.43;68.25
prv-000421;36;46;70;land;1337.67;66.65
prv-000422;65;158;37;land;1360.66;67.47
prv-000423;131;153;134;land;1433.76;67.59
prv-000424;81;190;0;land;1453.86;65.76
prv-000425;56;22;3;land;1467.33;66.22
prv-000426;19;138;231;land;1505.62;67.6
prv-000427;254;139;100;land;1548.82;67.57
prv-000428;71;163;66;land;1572.3;64.99
prv-000429;23;141;219;land;1627.37;59.7
prv-000430;30;191;51;land;1652.72;68.27
prv-000431;198;14;178;land;1679.33;71.08
prv-000432;193;168;4;land;1696.81;64.92
prv-000433;69;94;55;land;1721.17;71.07
prv-000434;226;59;145;land;1995.21;74.48
prv-000435;170;195;193;land;1993.31;61.9
prv-000436;207;65;137;land;2042.32;69.98
prv-000437;147;63;39;land;2055.11;66.21
prv-000438;236;219;152;land;2089.22;62.64
prv-000439;116;248;181;land;2139.55;68.72
prv-000440;33;249;237;land;2166.91;65.75
prv-000441;151;52;25;land;2195.34;61.55
prv-000442;139;109;154;land;2238.91;61.91
prv-000443;44;16;243;land;2260.48;71.03
prv-000444;176;211;145;land;2298.35;70.47
prv-000445;50;134;145;land;2339.63;63.97
prv-000446;17;186;0;land;2367.22;74.43
prv-000447;123;163;55;land;2383.74;72.38
prv-000448;192;8;11;land;2409.61;73.65
prv-000449;218;227;67;land;2454.1;62.14
prv-000450;5;126;252;land;2477.69;72.15
prv-000451;191;102;76;land;2683.19;66.28
prv-000452;157;245;71;land;3184.0;70.0
prv-000453;186;47;140;land;3201.68;71.87
prv-000454;101;28;244;land;3245.42;71.82
prv-000455;186;104;111;land;3269.81;71.24
prv-000456;90;120;119;land;3284.82;72.25
prv-000457;71;97;75;land;3629.92;58.43
prv-000458;72;157;179;land;3660.25;68.24
prv-000459;96;222;43;land;3682.31;62.61
prv-000460;53;4;191;land;3709.17;70.96
prv-000461;253;216;182;land;3876.44;64.66
prv-000462;168;224;9;land;3896.75;64.29
prv-000463;181;233;90;land;3907.01;66.29
prv-000464;37;141;79;land;3963.79;61.33
prv-000465;64;228;47;land;3973.22;67.84
prv-000466;128;46;139;land;4019.72;72.93
prv-000467;49;135;213;land;4046.64;65.45
prv-000468;18;203;112;land;4077.48;70.38
prv-000469;0;129;71;land;4132.98;69.06
prv-000470;222;118;123;land;4156.48;64.38
prv-000471;72;101;243;land;4172.88;66.09
prv-000472;71;138;85;land;4221.74;64.98
prv-000473;83;197;95;land;4258.61;64.4
prv-000474;67;204;87;land;4271.29;71.07
prv-000475;108;14;75;land;4322.42;64.45
prv-000476;198;9;95;land;4332.1;70.99
prv-000477;159;214;32;land;4388.91;70.74
prv-000478;54;113;160;land;4400.17;63.48
prv-000479;180;66;225;land;4430.19;68.76
prv-000480;199;189;5;land;4476.44;66.53
prv-000481;142;221;108;land;4493.57;61.65
prv-000482;6;185;3;land;4551.57;67.33
prv-000483;49;28;54;land;4582.62;68.05
prv-000484;246;14;198;land;4605.65;63.51
prv-000485;238;138;38;land;4636.09;65.2
prv-000486;92;204;92;land;4652.66;72.34
prv-000487;148;133;79;land;4703.37;66.86
prv-000488;240;3;138;land;4733.1;64.03
prv-000489;247;161;150;land;4778.95;70.07
prv-000490;129;75;111;land;4815.09;71.73
prv-000491;90;195;117;land;4834.4;70.22
prv-000492;250;150;212;land;4868.68;67.18
prv-000493;246;221;192;land;4906.47;68.03
prv-000494;147;229;144;land;4932.0;65.4
prv-000495;4;157;191;land;4954.3;67.42
prv-000496;42;237;177;land;4995.52;65.79
prv-000497;47;118;40;land;5035.56;64.29
prv-000498;120;199;126;land;5055.73;66.89
prv-000499;201;241;68;land;5089.72;70.78
prv-000500;168;145;105;land;5115.87;62.45
prv-000501;230;255;110;land;5175.29;68.59
prv-000502;53;35;87;land;5201.67;72.55
prv-000503;66;105;183;land;5223.03;71.15
prv-000504;225;3;12;land;5247.65;70.89
prv-000505;207;217;78;land;5279.62;72.18
prv-000506;151;77;120;land;5316.31;68.38
prv-000507;182;68;9;land;5345.14;71.71
prv-000508;130;216;62;land;5599.58;65.0
prv-000509;250;96;131;land;5607.77;65.01
prv-000510;66;146;106;land;5.64;72.19
prv-000511;193;242;204;land;292.97;81.8
prv-000512;87;45;181;land;316.19;80.6
prv-000513;248;97;94;land;346.82;77.45
prv-000514;229;173;89;land;384.39;71.66
prv-000515;35;168;249;land;396.49;82.82
prv-000516;54;20;183;land;439.5;79.65
prv-000517;150;200;178;land;473.76;78.39
prv-000518;68;55;165;land;496.08;82.53
prv-000519;174;41;78;land;523.05;81.62
prv-000520;73;70;176;land;565.33;85.8
prv-000521;39;202;206;land;591.98;84.91
prv-000522;108;3;95;land;768.33;83.78
prv-000523;71;2;178;land;802.0;84.36
prv-000524;22;25;46;land;826.3;78.96
prv-000525;180;190;186;land;874.25;82.82
prv-000526;139;86;64;land;878.0;80.0
prv-000527;232;131;101;land;995.3;84.27
prv-000528;3;225;87;land;1032.1;81.05
prv-000529;48;31;128;land;1070.67;85.29
prv-000530;75;160;186;land;1095.92;78.8
prv-000531;135;213;61;land;1120.14;73.21
prv-000532;204;42;183;land;1169.43;81.44
prv-000533;154;144;209;land;1194.34;75.95
prv-000534;182;124;7;land;1221.32;77.59
prv-000535;68;251;40;land;1249.3;72.6
prv-000536;221;52;124;land;1300.43;93.04
prv-000537;68;91;216;land;1321.89;77.24
prv-000538;34;134;44;land;1344.36;76.55
prv-000539;65;4;176;land;1361.78;77.14
prv-000540;84;66;55;land;1431.86;72.71
prv-000541;86;187;17;land;1445.19;75.3
prv-000542;245;250;193;land;1480.37;68.9
prv-000543;203;118;46;land;1527.45;66.53
prv-000544;52;84;179;land;1539.98;82.89
prv-000545;90;51;195;land;1579.79;81.98
prv-000546;76;195;231;land;1603.92;71.33
prv-000547;77;8;214;land;1632.73;78.99
prv-000548;85;51;3;land;1671.04;81.52
prv-000549;99;18;89;land;1699.2;81.54
prv-000550;250;82;202;land;1743.18;73.12
prv-000551;46;246;54;land;1756.69;78.51
prv-000552;13;31;254;land;1974.64;78.78
prv-000553;163;181;137;land;1989.72;83.35
prv-000554;167;253;244;land;2029.36;75.01
prv-000555;103;55;241;land;2071.91;78.44
prv-000556;123;187;61;land;2104.88;80.93
prv-000557;144;209;248;land;2136.76;84.85
prv-000558;115;167;142;land;2181.1;81.71
prv-000559;33;211;112;land;2201.16;75.46
prv-000560;208;121;148;land;2228.25;80.22
prv-000561;54;179;35;land;2246.75;75.94
prv-000562;73;165;11;land;2281.82;74.1
prv-000563;59;46;7;land;2323.37;74.27
prv-000564;10;169;238;land;2352.46;79.21
prv-000565;171;121;105;land;2406.16;84.18
prv-000566;157;248;181;land;2427.41;80.73
prv-000567;81;167;247;land;2460.33;82.12
prv-000568;190;192;57;land;2456.85;71.98
prv-000569;83;205;250;land;3122.49;85.67
prv-000570;52;184;40;land;3150.61;82.32
prv-000571;247;178;124;land;3179.35;80.73
prv-000572;152;154;237;land;3202.42;82.88
prv-000573;190;41;192;land;3222.17;77.54
prv-000574;52;130;212;land;3265.45;77.47
prv-000575;243;22;199;land;3284.08;74.08
prv-000576;12;207;239;land;3319.65;88.42
prv-000577;109;167;200;land;3679.44;70.2
prv-000578;211;93;222;land;3697.13;71.14
prv-000579;244;64;31;land;3735.19;80.4
prv-000580;54;11;139;land;3773.38;87.51
prv-000581;19;144;40;land;3867.49;79.62
prv-000582;180;59;214;land;3880.17;75.39
prv-000583;64;18;214;land;3929.26;74.23
prv-000584;82;241;184;land;3941.72;78.95
prv-000585;30;72;59;land;4002.21;80.63
prv-000586;212;63;232;land;4005.23;72.85
prv-000587;240;77;2;land;4059.29;80.83
prv-000588;30;255;252;land;4097.68;68.76
prv-000589;124;166;171;land;4124.51;84.8
prv-000590;139;179;7;land;4151.38;79.14
prv-000591;2;76;185;land;4196.11;78.0
prv-000592;91;19;134;land;4218.7;77.73
prv-000593;255;172;64;land;4260.95;86.64
prv-000594;144;68;126;land;4286.76;74.43
prv-000595;216;151;159;land;4316.42;78.38
prv-000596;191;163;164;land;4340.93;80.48
prv-000597;176;193;204;land;4372.27;72.67
prv-000598;20;251;83;land;4406.61;77.83
prv-000599;230;180;253;land;4451.62;73.19
prv-000600;74;54;139;land;4465.74;84.57
prv-000601;74;211;203;land;4505.21;77.26
prv-000602;50;69;243;land;4534.87;75.2
prv-000603;12;50;120;land;4558.8;82.13
prv-000604;50;59;101;land;4601.74;77.48
prv-000605;57;28;246;land;4623.66;72.34
prv-000606;178;198;115;land;4670.98;77.04
prv-000607;252;165;182;land;4687.94;76.29
prv-000608;94;131;66;land;4724.55;84.23
prv-000609;229;180;190;land;4765.46;80.12
