region_type,region_id,parent_id,color,local_x,local_y,global_x,global_y,bbox_local,bbox,density_multiplier
land,ter-000013-prv-000001,ter-000013,#f26881,82.68,48.95,2173.68,94.95,"[55, 22, 110, 80]","[2146, 68, 2201, 126]",0.654296875
land,ter-000013-prv-000002,ter-000013,#976674,23.73,29.08,2114.73,75.08,"[0, 0, 59, 55]","[2091, 46, 2150, 101]",0.654296875
land,ter-000013-prv-000003,ter-000013,#1aa3b5,52.2,66.44,2143.2,112.44,"[31, 36, 81, 94]","[2122, 82, 2172, 140]",0.654296875
land,ter-000013-prv-000004,ter-000013,#e7d5f5,16.32,79.72,2107.32,125.72,"[0, 51, 40, 110]","[2091, 97, 2131, 156]",0.654296875
land,ter-000014-prv-000001,ter-000014,#47de7b,105.19,92.95,2299.19,92.95,"[82, 70, 129, 125]","[2276, 70, 2323, 125]",0.654296875
land,ter-000014-prv-000002,ter-000014,#479862,103.22,46.47,2297.22,46.47,"[74, 10, 128, 72]","[2268, 10, 2322, 72]",0.654296875
land,ter-000014-prv-000003,ter-000014,#38bece,63.03,104.87,2257.03,104.87,"[32, 87, 91, 129]","[2226, 87, 2285, 129]",0.654296875
land,ter-000014-prv-000004,ter-000014,#12cc4e,66.62,69.74,2260.62,69.74,"[42, 43, 94, 93]","[2236, 43, 2288, 93]",0.654296875
land,ter-000014-prv-000005,ter-000014,#347c0f,79.43,16.02,2273.43,16.02,"[44, 0, 119, 45]","[2238, 0, 2313, 45]",0.654296875
land,ter-000014-prv-000006,ter-000014,#4aeae8,21.98,84.14,2215.98,84.14,"[0, 55, 47, 114]","[2194, 55, 2241, 114]",0.654296875
land,ter-000014-prv-000007,ter-000014,#bdb29c,37.13,34.3,2231.13,34.3,"[10, 0, 66, 64]","[2204, 0, 2260, 64]",0.654296875
land,ter-000015-prv-000001,ter-000015,#a334d9,107.22,55.37,2182.22,55.37,"[80, 33, 135, 83]","[2155, 33, 2210, 83]",0.654296875
land,ter-000015-prv-000002,ter-000015,#79b064,68.18,40.52,2143.18,40.52,"[40, 10, 93, 69]","[2115, 10, 2168, 69]",0.654296875
land,ter-000015-prv-000003,ter-000015,#1f6d13,113.9,15.8,2188.9,15.8,"[81, 0, 149, 39]","[2156, 0, 2224, 39]",0.654296875
land,ter-000015-prv-000004,ter-000015,#cbd52f,20.47,25.96,2095.47,25.96,"[0, 0, 43, 55]","[2075, 0, 2118, 55]",0.654296875
land,ter-000015-prv-000005,ter-000015,#707562,50.79,11.87,2125.79,11.87,"[23, 0, 81, 36]","[2098, 0, 2156, 36]",0.654296875
land,ter-000016-prv-000001,ter-000016,#fc6906,109.69,21.09,2419.69,21.09,"[88, 0, 136, 57]","[2398, 0, 2446, 57]",0.654296875
land,ter-000016-prv-000002,ter-000016,#865f77,66.38,23.2,2376.38,23.2,"[34, 0, 93, 57]","[2344, 0, 2403, 57]",0.654296875
land,ter-000016-prv-000003,ter-000016,#92c719,156.65,12.22,2466.65,12.22,"[134, 0, 186, 29]","[2444, 0, 2496, 29]",0.654296875
land,ter-000016-prv-000004,ter-000016,#a9da0e,132.84,55.39,2442.84,55.39,"[89, 39, 167, 71]","[2399, 39, 2477, 71]",0.654296875
land,ter-000016-prv-000005,ter-000016,#b45e0d,95.08,83.3,2405.08,83.3,"[64, 69, 147, 102]","[2374, 69, 2457, 102]",0.654296875
land,ter-000016-prv-000006,ter-000016,#293ae5,42.69,75.08,2352.69,75.08,"[12, 41, 91, 108]","[2322, 41, 2401, 108]",0.654296875
land,ter-000016-prv-000007,ter-000016,#410ff2,21.46,28.51,2331.46,28.51,"[0, 0, 48, 65]","[2310, 0, 2358, 65]",0.654296875
ocean,ter-000019-prv-000001,ter-000019,#142c76,10.75,5.85,2501.75,5.85,"[0, 0, 25, 11]","[2491, 0, 2516, 11]",0.9085937500000001
ocean,ter-000017-prv-000001,ter-000017,#363d65,157.56,69.19,1960.56,146.19,"[91, 0, 220, 135]","[1894, 77, 2023, 212]",1.0
ocean,ter-000017-prv-000002,ter-000017,#04296f,79.81,146.33,1882.81,223.33,"[0, 75, 152, 211]","[1803, 152, 1955, 288]",1.0
ocean,ter-000017-prv-000003,ter-000017,#243f7e,199.05,170.22,2002.05,247.22,"[146, 106, 247, 242]","[1949, 183, 2050, 319]",1.0
ocean,ter-000017-prv-000004,ter-000017,#22288c,128.86,216.11,1931.86,293.11,"[49, 158, 192, 274]","[1852, 235, 1995, 351]",1.0
ocean,ter-000017-prv-000005,ter-000017,#01078c,267.35,163.85,2070.35,240.85,"[228, 120, 322, 208]","[2031, 197, 2125, 285]",1.0
land,ter-000020-prv-000001,ter-000020,#1f7013,21.88,8.85,4558.88,11.85,"[0, 0, 47, 17]","[4537, 3, 4584, 20]",0.853515625
ocean,ter-000018-prv-000001,ter-000018,#061477,258.48,176.01,1816.48,176.01,"[193, 131, 313, 224]","[1751, 131, 1871, 224]",1.0
ocean,ter-000018-prv-000002,ter-000018,#0f23ac,316.98,118.46,1874.98,118.46,"[250, 68, 376, 181]","[1808, 68, 1934, 181]",1.0
ocean,ter-000018-prv-000003,ter-000018,#253896,261.17,51.34,1819.17,51.34,"[188, 0, 329, 113]","[1746, 0, 1887, 113]",1.0
ocean,ter-000018-prv-000004,ter-000018,#354471,129.01,26.35,1687.01,26.35,"[0, 0, 213, 79]","[1558, 0, 1771, 79]",1.0
ocean,ter-000018-prv-000005,ter-000018,#302682,366.43,51.14,1924.43,51.14,"[325, 0, 451, 109]","[1883, 0, 2009, 109]",1.0
land,ter-000021-prv-000001,ter-000021,#fe5a4e,69.1,23.28,917.1,29.28,"[0, 0, 160, 54]","[848, 6, 1008, 60]",0.25
ocean,ter-000022-prv-000001,ter-000022,#263484,70.12,29.01,3242.12,29.01,"[0, 0, 177, 71]","[3172, 0, 3349, 71]",1.0
ocean,ter-000022-prv-000002,ter-000022,#122d64,166.19,50.42,3338.19,50.42,"[95, 0, 213, 90]","[3267, 0, 3385, 90]",1.0
ocean,ter-000022-prv-000003,ter-000022,#2145b1,261.73,110.53,3433.73,110.53,"[166, 58, 341, 174]","[3338, 58, 3513, 174]",1.0
ocean,ter-000022-prv-000004,ter-000022,#344288,271.37,30.9,3443.37,30.9,"[200, 0, 343, 73]","[3372, 0, 3515, 73]",1.0
ocean,ter-000022-prv-000005,ter-000022,#261fa7,370.91,76.11,3542.91,76.11,"[318, 20, 429, 127]","[3490, 20, 3601, 127]",1.0
ocean,ter-000022-prv-000006,ter-000022,#3b3171,399.57,23.69,3571.57,23.69,"[343, 0, 451, 68]","[3515, 0, 3623, 68]",1.0
ocean,ter-000024-prv-000001,ter-000024,#251b7d,526.4,18.43,5095.4,18.43,"[460, 0, 584, 44]","[5029, 0, 5153, 44]",1.0
ocean,ter-000024-prv-000002,ter-000024,#152773,368.74,26.5,4937.74,26.5,"[285, 0, 464, 66]","[4854, 0, 5033, 66]",1.0
ocean,ter-000024-prv-000003,ter-000024,#0531a0,166.66,14.73,4735.66,14.73,"[0, 0, 293, 61]","[4569, 0, 4862, 61]",1.0
ocean,ter-000023-prv-000001,ter-000023,#273a8a,112.12,51.42,3711.12,51.42,"[0, 0, 216, 106]","[3599, 0, 3815, 106]",1.0
ocean,ter-000023-prv-000002,ter-000023,#000194,57.0,59.0,3656.0,59.0,"[57, 59, 58, 60]","[3656, 59, 3657, 60]",1.0
ocean,ter-000023-prv-000003,ter-000023,#310397,423.93,35.0,4022.93,35.0,"[327, 0, 580, 136]","[3926, 0, 4179, 136]",1.0
ocean,ter-000023-prv-000004,ter-000023,#203b82,263.82,38.05,3862.82,38.05,"[216, 0, 341, 105]","[3815, 0, 3940, 105]",1.0
ocean,ter-000026-prv-000001,ter-000026,#013972,10.43,3.1,4578.43,9.1,"[0, 0, 23, 8]","[4568, 6, 4591, 14]",0.55
land,ter-000027-prv-000001,ter-000027,#ca1b65,34.01,13.64,1351.01,25.64,"[0, 0, 84, 36]","[1317, 12, 1401, 48]",0.25
ocean,ter-000025-prv-000001,ter-000025,#014d82,232.3,40.83,5377.3,40.83,"[173, 0, 297, 88]","[5318, 0, 5442, 88]",1.0
ocean,ter-000025-prv-000002,ter-000025,#04259a,389.15,36.54,5534.15,36.54,"[345, 0, 428, 80]","[5490, 0, 5573, 80]",1.0
ocean,ter-000025-prv-000003,ter-000025,#00268b,94.19,29.73,5239.19,29.73,"[0, 0, 179, 70]","[5145, 0, 5324, 70]",1.0
ocean,ter-000025-prv-000004,ter-000025,#272f7a,322.09,45.86,5467.09,45.86,"[281, 0, 367, 97]","[5426, 0, 5512, 97]",1.0
ocean,ter-000025-prv-000005,ter-000025,#104a82,454.6,42.34,5599.6,42.34,"[417, 0, 487, 93]","[5562, 0, 5632, 93]",1.0
ocean,ter-000028-prv-000001,ter-000028,#08048d,31.28,9.65,4516.28,20.65,"[0, 0, 56, 17]","[4485, 11, 4541, 28]",0.8500000000000001
ocean,ter-000029-prv-000001,ter-000029,#231779,22.4,5.43,5040.4,21.43,"[0, 0, 45, 12]","[5018, 16, 5063, 28]",0.25
land,ter-000030-prv-000001,ter-000030,#1c8298,56.74,19.74,1264.74,34.74,"[0, 0, 99, 42]","[1208, 15, 1307, 57]",0.25
ocean,ter-000032-prv-000001,ter-000032,#01369f,18.4,4.73,1161.4,23.73,"[0, 0, 36, 14]","[1143, 19, 1179, 33]",0.25
land,ter-000031-prv-000001,ter-000031,#0aeddf,338.41,148.77,1744.41,165.77,"[282, 94, 397, 188]","[1688, 111, 1803, 205]",0.25
land,ter-000031-prv-000002,ter-000031,#893280,292.54,100.53,1698.54,117.53,"[228, 43, 344, 158]","[1634, 60, 1750, 175]",0.25
land,ter-000031-prv-000003,ter-000031,#7d1fb9,389.27,110.0,1795.27,127.0,"[344, 81, 441, 139]","[1750, 98, 1847, 156]",0.25
land,ter-000031-prv-000004,ter-000031,#ab0100,225.28,47.71,1631.28,64.71,"[161, 16, 297, 86]","[1567, 33, 1703, 103]",0.25
land,ter-000031-prv-000005,ter-000031,#79e1e5,86.86,32.65,1492.86,49.65,"[0, 0, 168, 66]","[1406, 17, 1574, 83]",0.25
land,ter-000033-prv-000001,ter-000033,#a0293f,33.66,8.2,1583.66,26.2,"[0, 0, 72, 16]","[1550, 18, 1622, 34]",0.55
land,ter-000034-prv-000001,ter-000034,#4e7930,45.06,23.99,3666.06,45.99,"[0, 0, 89, 46]","[3621, 22, 3710, 68]",0.25
land,ter-000035-prv-000001,ter-000035,#9fe6d9,195.99,42.19,1146.99,66.19,"[142, 0, 279, 75]","[1093, 24, 1230, 99]",0.25
land,ter-000035-prv-000002,ter-000035,#f51cf3,82.69,36.34,1033.69,60.34,"[0, 1, 144, 77]","[951, 25, 1095, 101]",0.25
land,ter-000036-prv-000001,ter-000036,#58fe30,20.18,9.34,1570.18,36.34,"[0, 0, 50, 18]","[1550, 27, 1600, 45]",0.7
land,ter-000037-prv-000001,ter-000037,#321b25,18.53,3.63,2405.53,29.63,"[0, 0, 38, 9]","[2387, 26, 2425, 35]",0.7234375
ocean,ter-000038-prv-000001,ter-000038,#204f89,125.8,44.98,973.8,77.98,"[0, 0, 320, 88]","[848, 33, 1168, 121]",1.0
land,ter-000039-prv-000001,ter-000039,#ed6717,16.26,9.32,2446.26,34.32,"[0, 0, 35, 19]","[2430, 25, 2465, 44]",0.912109375
land,ter-000040-prv-000001,ter-000040,#2d2809,9.28,8.01,4113.28,58.01,"[0, 0, 19, 16]","[4104, 50, 4123, 66]",0.79609375
land,ter-000041-prv-000001,ter-000041,#9002f2,14.74,4.25,14.74,57.25,"[0, 0, 36, 10]","[0, 53, 36, 63]",0.25
land,ter-000042-prv-000001,ter-000042,#5a2737,9.61,5.56,5623.61,59.56,"[0, 0, 18, 11]","[5614, 54, 5632, 65]",0.951953125
land,ter-000043-prv-000001,ter-000043,#fe9f5f,20.92,6.89,2397.92,65.89,"[0, 0, 41, 13]","[2377, 59, 2418, 72]",0.7808593749999999
land,ter-000044-prv-000001,ter-000044,#ec243b,37.14,28.37,3122.14,90.37,"[23, 17, 52, 41]","[3108, 79, 3137, 103]",2.2283464566929134
land,ter-000044-prv-000002,ter-000044,#1b7460,12.37,33.69,3097.37,95.69,"[0, 22, 26, 47]","[3085, 84, 3111, 109]",2.2283464566929134
land,ter-000044-prv-000003,ter-000044,#0fccaf,65.32,21.08,3150.32,83.08,"[50, 10, 79, 32]","[3135, 72, 3164, 94]",2.2283464566929134
land,ter-000044-prv-000004,ter-000044,#1664b1,96.12,21.27,3181.12,83.27,"[79, 5, 115, 37]","[3164, 67, 3200, 99]",2.2283464566929134
land,ter-000044-prv-000005,ter-000044,#14646f,134.78,14.31,3219.78,76.31,"[112, 0, 173, 37]","[3197, 62, 3258, 99]",2.2283464566929134
land,ter-000045-prv-000001,ter-000045,#341b92,18.65,10.21,3274.65,74.21,"[0, 0, 43, 24]","[3256, 64, 3299, 88]",0.88984375
ocean,ter-000046-prv-000001,ter-000046,#3049ad,13.81,6.24,3746.81,76.24,"[0, 0, 30, 13]","[3733, 70, 3763, 83]",0.6507812500000001
land,ter-000047-prv-000001,ter-000047,#16adeb,107.39,169.13,295.39,225.13,"[29, 120, 179, 245]","[217, 176, 367, 301]",0.25
land,ter-000047-prv-000002,ter-000047,#191c24,172.0,183.0,360.0,239.0,"[172, 183, 173, 184]","[360, 239, 361, 240]",0.25
land,ter-000047-prv-000003,ter-000047,#55a954,199.42,141.05,387.42,197.05,"[160, 57, 232, 219]","[348, 113, 420, 275]",0.25
land,ter-000047-prv-000004,ter-000047,#b1a3d1,143.14,102.76,331.14,158.76,"[95, 52, 185, 167]","[283, 108, 373, 223]",0.25
land,ter-000047-prv-000005,ter-000047,#928691,173.44,35.5,361.44,91.5,"[111, 0, 227, 76]","[299, 56, 415, 132]",0.25
land,ter-000047-prv-000006,ter-000047,#c18c36,72.76,65.41,260.76,121.41,"[0, 15, 122, 110]","[188, 71, 310, 166]",0.25
land,ter-000048-prv-000001,ter-000048,#6f0ced,151.15,94.59,560.15,157.59,"[102, 64, 199, 133]","[511, 127, 608, 196]",0.25
land,ter-000048-prv-000002,ter-000048,#77ae8a,85.02,49.09,494.02,112.09,"[43, 6, 123, 98]","[452, 69, 532, 161]",0.25
land,ter-000048-prv-000003,ter-000048,#e83388,61.81,134.65,470.81,197.65,"[11, 91, 117, 183]","[420, 154, 526, 246]",0.25
land,ter-000048-prv-000004,ter-000048,#35680b,158.25,39.82,567.25,102.82,"[115, 12, 199, 69]","[524, 75, 608, 132]",0.25
land,ter-000048-prv-000005,ter-000048,#ec2b41,164.01,145.38,573.01,208.38,"[114, 110, 228, 176]","[523, 173, 637, 239]",0.25
land,ter-000048-prv-000006,ter-000048,#a03250,28.88,57.49,437.88,120.49,"[0, 0, 64, 118]","[409, 63, 473, 181]",0.25
land,ter-000050-prv-000001,ter-000050,#ebd710,22.09,7.7,1743.09,80.7,"[0, 0, 43, 19]","[1721, 73, 1764, 92]",0.4
land,ter-000051-prv-000001,ter-000051,#510fea,20.21,7.64,1978.21,79.64,"[0, 0, 45, 16]","[1958, 72, 2003, 88]",1.0
ocean,ter-000052-prv-000001,ter-000052,#2c4895,14.69,5.64,763.69,80.64,"[0, 0, 30, 12]","[749, 75, 779, 87]",0.7
ocean,ter-000049-prv-000001,ter-000049,#092376,263.67,59.41,1594.67,130.41,"[192, 0, 354, 137]","[1523, 71, 1685, 208]",1.0
ocean,ter-000049-prv-000002,ter-000049,#0416ab,186.5,139.82,1517.5,210.82,"[117, 98, 269, 196]","[1448, 169, 1600, 267]",1.0
ocean,ter-000049-prv-000003,ter-000049,#2f3a76,390.94,139.02,1721.94,210.02,"[292, 90, 473, 190]","[1623, 161, 1804, 261]",1.0
ocean,ter-000049-prv-000004,ter-000049,#053594,60.44,151.63,1391.44,222.63,"[0, 98, 117, 210]","[1331, 169, 1448, 281]",1.0
ocean,ter-000049-prv-000005,ter-000049,#354385,169.32,77.85,1500.32,148.85,"[106, 53, 218, 110]","[1437, 124, 1549, 181]",1.0
ocean,ter-000049-prv-000006,ter-000049,#2f4b7f,126.24,190.15,1457.24,261.15,"[68, 125, 177, 238]","[1399, 196, 1508, 309]",1.0
ocean,ter-000049-prv-000007,ter-000049,#16156a,228.02,219.72,1559.02,290.72,"[169, 145, 287, 301]","[1500, 216, 1618, 372]",1.0
ocean,ter-000053-prv-000001,ter-000053,#072c7c,10.85,3.17,5455.85,80.17,"[0, 0, 23, 7]","[5445, 77, 5468, 84]",1.0
land,ter-000055-prv-000001,ter-000055,#ae07d4,76.0,52.77,3220.0,140.77,"[57, 40, 94, 71]","[3201, 128, 3238, 159]",2.2283464566929134
land,ter-000055-prv-000002,ter-000055,#d5c575,74.02,25.8,3218.02,113.8,"[62, 6, 89, 40]","[3206, 94, 3233, 128]",2.2283464566929134
land,ter-000055-prv-000003,ter-000055,#603fe0,54.19,39.65,3198.19,127.65,"[41, 27, 69, 56]","[3185, 115, 3213, 144]",2.2283464566929134
land,ter-000055-prv-000004,ter-000055,#d66bc2,15.84,7.68,3159.84,95.68,"[0, 0, 35, 16]","[3144, 88, 3179, 104]",2.2283464566929134
land,ter-000055-prv-000005,ter-000055,#b0eb07,50.75,17.11,3194.75,105.11,"[33, 7, 71, 29]","[3177, 95, 3215, 117]",2.2283464566929134
land,ter-000056-prv-000001,ter-000056,#74a8ff,37.44,12.69,3256.44,88.69,"[24, 0, 56, 28]","[3243, 76, 3275, 104]",2.2283464566929134
land,ter-000056-prv-000002,ter-000056,#1d7388,46.9,36.65,3265.9,112.65,"[32, 25, 66, 49]","[3251, 101, 3285, 125]",2.2283464566929134
land,ter-000056-prv-000003,ter-000056,#e3f088,13.8,16.06,3232.8,92.06,"[0, 2, 28, 32]","[3219, 78, 3247, 108]",2.2283464566929134
land,ter-000056-prv-000004,ter-000056,#5e01bb,20.82,41.13,3239.82,117.13,"[6, 26, 35, 63]","[3225, 102, 3254, 139]",2.2283464566929134
land,ter-000056-prv-000005,ter-000056,#0b264b,38.98,53.08,3257.98,129.08,"[22, 42, 60, 63]","[3241, 118, 3279, 139]",2.2283464566929134
land,ter-000057-prv-000001,ter-000057,#b3c149,56.0,9.0,3276.0,144.0,"[56, 9, 57, 10]","[3276, 144, 3277, 145]",2.2283464566929134
land,ter-000057-prv-000002,ter-000057,#e74749,27.5,11.25,3247.5,146.25,"[10, 0, 46, 27]","[3230, 135, 3266, 162]",2.2283464566929134
land,ter-000057-prv-000003,ter-000057,#65eade,30.93,61.23,3250.93,196.23,"[14, 39, 42, 90]","[3234, 174, 3262, 225]",2.2283464566929134
land,ter-000057-prv-000004,ter-000057,#536958,15.65,30.83,3235.65,165.83,"[0, 14, 32, 49]","[3220, 149, 3252, 184]",2.2283464566929134
land,ter-000057-prv-000005,ter-000057,#188f02,48.3,21.46,3268.3,156.46,"[30, 0, 68, 42]","[3250, 135, 3288, 177]",2.2283464566929134
land,ter-000057-prv-000006,ter-000057,#cae92b,70.07,49.53,3290.07,184.53,"[55, 29, 90, 70]","[3275, 164, 3310, 205]",2.2283464566929134
land,ter-000057-prv-000007,ter-000057,#a9e128,51.07,61.11,3271.07,196.11,"[40, 40, 68, 84]","[3260, 175, 3288, 219]",2.2283464566929134
land,ter-000058-prv-000001,ter-000058,#efb9b4,44.4,65.15,3191.4,221.15,"[31, 49, 59, 79]","[3178, 205, 3206, 235]",2.2283464566929134
land,ter-000058-prv-000002,ter-000058,#47f19a,37.1,41.49,3184.1,197.49,"[23, 25, 53, 57]","[3170, 181, 3200, 213]",2.2283464566929134
land,ter-000058-prv-000003,ter-000058,#74fcac,67.99,36.2,3214.99,192.2,"[51, 25, 88, 50]","[3198, 181, 3235, 206]",2.2283464566929134
land,ter-000058-prv-000004,ter-000058,#0d80f0,89.51,54.66,3236.51,210.66,"[76, 33, 106, 71]","[3223, 189, 3253, 227]",2.2283464566929134
land,ter-000058-prv-000005,ter-000058,#f8a770,45.96,19.36,3192.96,175.36,"[26, 2, 59, 35]","[3173, 158, 3206, 191]",2.2283464566929134
land,ter-000058-prv-000006,ter-000058,#e67886,18.17,62.58,3165.17,218.58,"[3, 49, 32, 79]","[3150, 205, 3179, 235]",2.2283464566929134
land,ter-000058-prv-000007,ter-000058,#c19873,68.12,14.01,3215.12,170.01,"[55, 0, 86, 27]","[3202, 156, 3233, 183]",2.2283464566929134
land,ter-000058-prv-000008,ter-000058,#af28ec,67.54,61.29,3214.54,217.29,"[55, 49, 84, 76]","[3202, 205, 3231, 232]",2.2283464566929134
land,ter-000058-prv-000009,ter-000058,#d42f94,14.53,36.15,3161.53,192.15,"[0, 20, 30, 51]","[3147, 176, 3177, 207]",2.2283464566929134
land,ter-000059-prv-000001,ter-000059,#99ad97,27.24,12.51,1291.24,91.51,"[0, 0, 53, 26]","[1264, 79, 1317, 105]",0.25
ocean,ter-000060-prv-000001,ter-000060,#343570,20.66,16.47,1324.66,99.47,"[0, 0, 46, 41]","[1304, 83, 1350, 124]",0.94609375
land,ter-000061-prv-000001,ter-000061,#a08d13,35.04,119.37,881.04,369.37,"[0, 72, 68, 162]","[846, 322, 914, 412]",0.25
land,ter-000061-prv-000002,ter-000061,#cd4674,88.37,115.83,934.37,365.83,"[49, 78, 121, 157]","[895, 328, 967, 407]",0.25
land,ter-000061-prv-000003,ter-000061,#78743b,157.98,119.53,1003.98,369.53,"[116, 75, 199, 157]","[962, 325, 1045, 407]",0.25
land,ter-000061-prv-000004,ter-000061,#9ac2e9,80.95,45.7,926.95,295.7,"[38, 0, 112, 81]","[884, 250, 958, 331]",0.25
land,ter-000061-prv-000005,ter-000061,#419f4e,146.08,47.32,992.08,297.32,"[110, 3, 188, 86]","[956, 253, 1034, 336]",0.25
land,ter-000062-prv-000001,ter-000062,#003740,161.37,82.6,1193.37,305.6,"[129, 37, 188, 129]","[1161, 260, 1220, 352]",0.25
land,ter-000062-prv-000002,ter-000062,#a88aff,144.63,155.64,1176.63,378.64,"[98, 119, 188, 184]","[1130, 342, 1220, 407]",0.25
land,ter-000062-prv-000003,ter-000062,#1f0a9d,84.58,42.81,1116.58,265.81,"[39, 0, 140, 91]","[1071, 223, 1172, 314]",0.25
land,ter-000062-prv-000004,ter-000062,#c11392,52.86,147.54,1084.86,370.54,"[10, 101, 101, 184]","[1042, 324, 1133, 407]",0.25
land,ter-000062-prv-000005,ter-000062,#2f9747,29.46,70.75,1061.46,293.75,"[0, 17, 71, 120]","[1032, 240, 1103, 343]",0.25
land,ter-000062-prv-000006,ter-000062,#333ba1,111.26,101.49,1143.26,324.49,"[67, 57, 151, 142]","[1099, 280, 1183, 365]",0.25
land,ter-000063-prv-000001,ter-000063,#5d2c81,167.24,149.2,1385.24,373.2,"[133, 102, 204, 197]","[1351, 326, 1422, 421]",0.25
land,ter-000063-prv-000002,ter-000063,#66109a,33.53,137.52,1251.53,361.52,"[0, 81, 81, 183]","[1218, 305, 1299, 407]",0.25
land,ter-000063-prv-000003,ter-000063,#cbbcb3,126.04,76.08,1344.04,300.08,"[79, 16, 171, 120]","[1297, 240, 1389, 344]",0.25
land,ter-000063-prv-000004,ter-000063,#824218,60.82,51.01,1278.82,275.01,"[2, 0, 115, 107]","[1220, 224, 1333, 331]",0.25
land,ter-000063-prv-000005,ter-000063,#9d3bc7,201.17,88.16,1419.17,312.16,"[165, 53, 263, 131]","[1383, 277, 1481, 355]",0.25
