region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
AREA000260,land,#ab9caf,7633,,,,,,,,,,4308,1085,4476,1264,4406,1181,4406,1181
AREA000261,land,#22035f,44397,,,,,,,,,,3009,1090,3305,1382,3185,1217,3185,1217
AREA000262,land,#0d1edc,168069,,,,,,,,,,1658,1092,2270,1701,1984,1343,1984,1343
AREA000263,land,#065661,10830,,,,,,,,,,3347,1096,3469,1245,3408,1164,3408,1164
AREA000264,land,#51a99d,9598,,,,,,,,,,4521,1105,4678,1237,4601,1176,4601,1176
AREA000265,land,#38c9cf,3693,,,,,,,,,,3279,1108,3363,1195,3322,1149,3322,1149
AREA000266,land,#c9b3d9,6073,,,,,,,,,,2990,1116,3107,1251,3055,1186,3055,1186
AREA000267,land,#b1d008,4557,,,,,,,,,,2955,1138,3042,1233,3001,1182,3001,1182
AREA000268,land,#64f1dd,352,,,,,,,,,,2964,1140,2993,1158,2980,1148,2980,1148
AREA000269,land,#2b5e12,458,,,,,,,,,,4693,1147,4776,1173,4733,1161,4733,1161
AREA000270,ocean,#123c76,90,,,,,,,,,,4812,1149,4831,1168,4822,1159,4822,1159
AREA000271,land,#30f216,4392,,,,,,,,,,1550,1152,1637,1251,1588,1195,1588,1195
AREA000272,lake,#012394,896,,,,,,,,,,3312,1169,3351,1212,3330,1190,3330,1190
AREA000273,land,#003c39,24642,,,,,,,,,,1543,1175,1739,1460,1651,1317,1651,1317
AREA000274,land,#350454,2016,,,,,,,,,,4676,1174,4742,1262,4702,1215,4702,1215
AREA000275,land,#4b737d,566,,,,,,,,,,2015,1170,2057,1203,2037,1187,2037,1187
AREA000276,land,#d8db0c,834,,,,,,,,,,4868,1179,4918,1210,4896,1194,4896,1194
AREA000277,land,#e000c9,16798,,,,,,,,,,3280,1189,3448,1356,3363,1275,3363,1275
AREA000278,land,#91607b,357,,,,,,,,,,3268,1191,3299,1217,3284,1204,3284,1204
AREA000279,land,#0e9e37,5709,,,,,,,,,,4887,1197,5023,1314,4982,1242,4982,1242
AREA000280,ocean,#09377e,113,,,,,,,,,,4463,1198,4486,1220,4476,1208,4476,1208
AREA000281,land,#2095ea,340,,,,,,,,,,3272,1210,3298,1242,3284,1226,3284,1226
AREA000282,land,#fa78d9,7150,,,,,,,,,,5022,1215,5173,1340,5073,1275,5073,1275
AREA000283,land,#346863,184,,,,,,,,,,4821,1217,4864,1232,4844,1223,4844,1223
AREA000284,ocean,#1a339c,103,,,,,,,,,,4789,1222,4808,1233,4798,1227,4798,1227
AREA000285,lake,#2d0caa,384,,,,,,,,,,3272,1234,3304,1310,3282,1274,3282,1274
AREA000286,ocean,#05127d,451,,,,,,,,,,5139,1240,5202,1271,5172,1260,5172,1260
AREA000287,land,#faacb7,56,,,,,,,,,,3005,1243,3019,1263,3009,1252,3009,1252
AREA000288,ocean,#310eaf,93,,,,,,,,,,5239,1260,5257,1280,5248,1271,5248,1271
AREA000289,land,#d6e417,24182,,,,,,,,,,3000,1265,3192,1455,3090,1366,3090,1366
AREA000290,land,#65730c,2057,,,,,,,,,,4469,1266,4607,1308,4537,1287,4537,1287
AREA000291,land,#194787,158,,,,,,,,,,4973,1288,4992,1304,4983,1296,4983,1296
AREA000292,ocean,#274789,52,,,,,,,,,,4608,1300,4627,1309,4619,1304,4619,1304
AREA000293,land,#dd2442,14320,,,,,,,,,,3161,1303,3342,1455,3250,1384,3250,1384
AREA000294,land,#6d7a17,132,,,,,,,,,,4691,1303,4729,1312,4707,1308,4707,1308
